flight,method,rmse_twin,mean_aoi,max_aoi,lqg_cost,sync_count,fuse_count,median_assoc_error_m,median_sinr_db,samples
Opt1,proposed,118.39303303170013,1.5985286389910667,20.0,286695947.09909976,71.0,1033.0,32.814581475254855,21.93713,1903
Opt1,periodic,120.74305340020726,4.4944823962165,9.0,286695947.09909976,190.0,0.0,32.814581475254855,21.93713,1903
Opt1,event,118.21867728011446,0.025748817656332107,2.0,286695947.09909976,1854.0,0.0,32.814581475254855,21.93713,1903
Opt1,unconditional,118.21859632912347,0.0,0.0,286695947.09909976,1902.0,0.0,32.814581475254855,21.93713,1903
Opt2,proposed,40.32588217911983,1.8754842280022137,20.0,37083855.39877935,33.0,783.0,25.984650525236123,22.9163589,1807
Opt2,periodic,46.19851139596432,4.494189263973436,9.0,37083855.39877935,180.0,0.0,25.984650525236123,22.9163589,1807
Opt2,event,39.601491517152084,0.0896513558384062,3.0,37083855.39877935,1663.0,0.0,25.984650525236123,22.9163589,1807
Opt2,unconditional,39.598862755729385,0.0,0.0,37083855.39877935,1806.0,0.0,25.984650525236123,22.9163589,1807
Opt3,proposed,46.83450833009813,1.4576687116564417,20.0,38084136.866638884,68.0,825.0,30.68454248048848,21.79298305,1630
Opt3,periodic,52.516156038546335,4.5,9.0,38084136.866638884,162.0,0.0,30.68454248048848,21.79298305,1630
Opt3,event,46.46971219279042,0.025766871165644172,1.0,38084136.866638884,1587.0,0.0,30.68454248048848,21.79298305,1630
Opt3,unconditional,46.46951737551767,0.0,0.0,38084136.866638884,1629.0,0.0,30.68454248048848,21.79298305,1630
