dataset,case,method,rmse_m,mean_nees,lqg_cost,mean_dt_err_m,rmse_improvement_vs_fixed_pct,cost_improvement_vs_fixed_pct,median_assoc_error_m
DeepSense Scenario 23,seq20,fixed,0.9595319570180516,405.9193536610903,21224.585392561647,1.7532461731180784,0.0,0.0,
DeepSense Scenario 23,seq20,adaptive_r,0.8147545129428198,100.80138751303224,9439.270129193405,1.733126542596103,15.088339999134407,55.526716048354544,
DeepSense Scenario 23,seq20,proposed,0.4152232511965421,19.534565235769566,2763.5683527326823,1.5692729416716655,56.72648022198905,86.9794000607371,
DeepSense Scenario 23,seq32,fixed,0.8700044549378493,337.212717640343,19950.098536914276,1.1665466541061016,0.0,0.0,
DeepSense Scenario 23,seq32,adaptive_r,0.7889206544413908,93.77066205325713,10704.019214526212,1.146986151615208,9.319929344758455,46.34603335557347,
DeepSense Scenario 23,seq32,proposed,0.5019260506127677,19.349661170259616,3683.203415113265,1.0397603445096726,42.30764592479886,81.53791868096229,
DeepSense Scenario 23,seq33,fixed,0.6352225142838828,182.4984440840316,18979.641764048854,0.5779028586142197,0.0,0.0,
DeepSense Scenario 23,seq33,adaptive_r,0.6038684503824848,99.65196049157105,14149.230436229123,0.5717365956031379,4.935918232801447,25.450487358351896,
DeepSense Scenario 23,seq33,proposed,0.5641959216173695,11.989266969861596,7342.188672101191,0.4922086487516313,11.181372049853264,61.31545176996581,
AERPAW Fortem radar,Opt1,fixed,115.6682913609894,156.21092485380072,274725742.7182211,69.94744364689237,0.0,0.0,32.814581475254855
AERPAW Fortem radar,Opt1,adaptive_r,118.16617134408676,47.249695980381965,286441266.79871243,70.69459864652526,-2.1595200842914886,-4.264443500843532,32.814581475254855
AERPAW Fortem radar,Opt1,proposed,118.21859632912349,47.2544080059949,286695947.09909976,70.70830129427331,-2.204843642217238,-4.3571469722646805,32.814581475254855
AERPAW Fortem radar,Opt2,fixed,35.612574488615635,27.822034599954417,29869712.67734885,36.59379497058221,0.0,0.0,25.984650525236123
AERPAW Fortem radar,Opt2,adaptive_r,39.49471589537373,7.80881126750842,36893043.455870934,40.20965240179841,-10.901041170160582,-23.51321840416664,25.984650525236123
AERPAW Fortem radar,Opt2,proposed,39.598877073980816,7.813795586328305,37083906.2210492,40.23915211985259,-11.193525440401654,-24.152202673081284,25.984650525236123
AERPAW Fortem radar,Opt3,fixed,48.69228650705935,25.993758286698597,42011370.1946036,41.96484586475531,0.0,0.0,30.68454248048848
AERPAW Fortem radar,Opt3,adaptive_r,46.46951737551767,5.036189233499518,38084136.86663888,40.62472270588468,4.564930692296463,9.348024855588214,30.68454248048848
AERPAW Fortem radar,Opt3,proposed,46.46951737551767,5.036189233499518,38084136.86663888,40.62472270588468,4.564930692296463,9.348024855588214,30.68454248048848
