seq,method,label,rmse_m,mean_nees,mean_pos_nees,lqg_cost,mean_dt_err_m,soft_rew_rate,hard_rej_rate,outlier_count
1,adaptive_r,Real-channel adaptive R,0.8274476147808212,133.5198024287325,82.17658762536628,31507.48514739793,3.506111927317566,0.0,0.0,75
1,adaptive_r_gate,Adaptive R + NIS gate,1.099592009249033,57.786347762759235,23.740004266382368,32538.915610866643,3.578033506919321,0.1889055472263868,0.1739130434782608,75
1,fixed_kf,Fixed-R KF,0.8727405325776761,367.0418263633669,255.0886091318449,46961.83110715846,3.4939214044309104,0.0,0.0,75
20,adaptive_r,Real-channel adaptive R,0.8147545129428198,100.80138751303224,74.00386121099204,9439.270129193405,1.733126542596103,0.0,0.0,33
20,adaptive_r_gate,Adaptive R + NIS gate,0.4152232511965421,19.534565235769566,12.259279445555803,2763.5683527326823,1.5692729416716655,0.0763358778625954,0.1106870229007633,33
20,fixed_kf,Fixed-R KF,0.9595319570180516,405.9193536610903,308.18659692309086,21224.585392561647,1.7532461731180784,0.0,0.0,33
32,adaptive_r,Real-channel adaptive R,0.7889206544413908,93.77066205325713,68.17260439022539,10704.019214526212,1.146986151615208,0.0,0.0,34
32,adaptive_r_gate,Adaptive R + NIS gate,0.5019260506127677,19.349661170259616,11.98289146809329,3683.203415113265,1.0397603445096726,0.0351437699680511,0.108626198083067,34
32,fixed_kf,Fixed-R KF,0.8700044549378493,337.212717640343,250.6854340556695,19950.098536914276,1.1665466541061016,0.0,0.0,34
33,adaptive_r,Real-channel adaptive R,0.6038684503824848,99.65196049157105,73.72549720531791,14149.230436229123,0.5717365956031379,0.0,0.0,48
33,adaptive_r_gate,Adaptive R + NIS gate,0.5641959216173695,11.989266969861596,7.237600618878717,7342.188672101191,0.4922086487516313,0.0404858299595141,0.1153846153846153,48
33,fixed_kf,Fixed-R KF,0.6352225142838828,182.4984440840316,135.10808931573183,18979.641764048854,0.5779028586142197,0.0,0.0,48
