package,scenario,fault_error_m,recovery_time_s,rmse_m,stable_run_fraction
current_best,nominal,0.2851242119195694,0.0,0.2793135531270632,1.0
current_best,wind,0.3963376417415928,11.252083333333331,0.3194928192114145,1.0
current_best,sensor,1.1804469692661388,12.710416666666667,0.6846988865075468,1.0
current_best,comm,0.3473845974339002,5.28125,0.2902999675808618,1.0
baseline_like,nominal,0.2055306334248205,0.0,0.2114878537544073,1.0
baseline_like,wind,0.2101790990525384,0.0,0.213103142540821,1.0
baseline_like,sensor,1.0902267766453488,12.0625,0.622786994657756,1.0
baseline_like,comm,0.3185456038445869,11.0125,0.2472171183303246,1.0
wind_medium,nominal,0.162361771523206,0.0,0.163099473739978,1.0
wind_medium,wind,0.1524645338776597,0.0,0.1602684878939846,1.0
wind_medium,sensor,1.0889124718451109,,0.6149036753769411,1.0
wind_medium,comm,0.277496456055182,10.989583333333332,0.2016183489999863,1.0
