condition,controller_label,security_DR,security_FAR,security_AA,security_TTD_s,security_DisR,security_FCA_m,fault_error_m,fault_error_ci95,recovery_time_s,rmse_m,stable_run_fraction
nominal,failure_aware,0.0001388888888888,0.0002777777777777,,,,0.005797142603084,0.1622584505261578,9.973593266715876e-05,0.0,0.1632066127968028,1.0
nominal,generic,0.0001388888888888,0.0002777777777777,,,,0.0064797463982096,0.2839859146275234,0.0002239926694893,0.0,0.2820032647981472,1.0
nominal,pid,0.0001388888888888,0.0002777777777777,,,,0.0064804603226154,0.2847266724506728,0.0002239394914829,0.0,0.2791294796176474,1.0
wind,failure_aware,0.0003472222222222,0.0002777777777777,0.0,,1.0,0.0058028745164055,0.1505625804992217,0.0001120083398898,0.0,0.1596773140516223,1.0
wind,generic,0.0002777777777777,0.0002777777777777,0.0,,1.0,0.043754759032873,0.3917925063446776,0.0002326278040515,11.355555555555556,0.32251178105716,1.0
wind,pid,0.0002777777777777,0.0002777777777777,0.0,,1.0,0.0064602663796768,0.3961009441776423,0.0002382350043554,11.25138888888889,0.3193560780863064,1.0
sensor,failure_aware,1.0,0.0002777777777777,,0.1375000000000003,,1.5269858950820931,1.2315086274842617,0.046142900823069,14.5625,0.687785808571266,1.0
sensor,generic,1.0,0.0002777777777777,,0.8041666666666667,,1.3487576639779109,1.1158472129307042,0.0460754202685079,13.2125,0.6481558539127928,1.0
sensor,pid,1.0,0.0002777777777777,,0.8041666666666667,,1.3476702393258229,1.1012502727541025,0.0433269305154752,12.988194444444444,0.6376065063868895,1.0
jamming_full,failure_aware,1.0,0.0002777777777777,1.0,0.0,,0.0057141169834699,0.2336464471083243,0.0001051663328631,,0.2026848335605642,1.0
jamming_full,generic,1.0,0.0002777777777777,1.0,0.0,,0.0064137081085458,0.2839856539362601,0.0002240173975897,0.0,0.282003146749185,1.0
jamming_full,pid,1.0,0.0002777777777777,1.0,0.0,,0.0064147371546457,0.2847264167325515,0.0002239656971777,0.0,0.2791293611256735,1.0
jamming_partial,failure_aware,1.0,0.0002777777777777,0.9995783545446252,0.1437499999999988,,0.0057151299747137,0.2324642800689505,0.000118675156984,14.574305555555554,0.1921291731569877,1.0
jamming_partial,generic,1.0,0.0002777777777777,0.9995078823811296,0.1437499999999988,,0.0065060690220212,0.2839814858984581,0.0002221123037169,0.0,0.2820015860684577,1.0
jamming_partial,pid,1.0,0.0002777777777777,0.9995078823811296,0.1437499999999988,,0.0065065910210418,0.2847223187329538,0.0002220828869529,0.0,0.2791277977947321,1.0
spoofing_strong,failure_aware,1.0,0.0002777777777777,1.0,0.0076388888888884,,0.0058024961777528,0.0867744572367733,0.0001092225045357,0.0,0.1692777873275466,1.0
spoofing_strong,generic,1.0,0.0002777777777777,1.0,0.0152777777777768,,0.0383729989100758,0.2579364481357736,0.0002332619957608,0.0,0.2764224697797325,1.0
spoofing_strong,pid,1.0,0.0002777777777777,1.0,0.0152777777777768,,0.0383636689641468,0.258745484825417,0.0002333781905321,0.0,0.2734909631365722,1.0
spoofing_subtle,failure_aware,1.0,0.0002777777777777,0.9996491228070176,0.1256944444444445,,0.0058284153021662,0.0872602603514161,0.0001130421318568,0.0,0.1655681406998957,1.0
spoofing_subtle,generic,0.9997916666666666,0.0002777777777777,0.999507433830843,0.1819444444444445,,0.0153417766561903,0.2739019684317275,0.0002255522360712,0.0,0.279598787252423,1.0
spoofing_subtle,pid,0.9997916666666666,0.0002777777777777,0.999507433830843,0.1819444444444445,,0.0153330689923218,0.2746658912272233,0.0002255535570785,0.0,0.276700122176251,1.0
replay,failure_aware,1.0,0.0002777777777777,0.9996488267081206,0.1631944444444455,,0.0134691914413892,0.2290604329146847,0.0002365420341181,,0.1992950068839399,1.0
replay,generic,1.0,0.0002777777777777,0.9996488267081206,0.1631944444444455,,0.0262177883407234,0.6736781191453424,0.0002482718356301,13.86111111111111,0.4363329609508957,1.0
replay,pid,1.0,0.0002777777777777,0.9996488267081206,0.1631944444444455,,0.0064646741449901,0.6468177041784526,0.0002480080201903,11.681944444444444,0.4190687693906271,1.0
compound,failure_aware,1.0,0.0002777777777777,1.0,0.0,,0.0057195263445894,0.1610539074975877,0.0001101387331002,0.0,0.1850622673609835,1.0
compound,generic,1.0,0.0002777777777777,1.0,0.0,,0.0407267843008168,0.3916222810127332,0.0002337895915005,11.35625,0.3224704728323381,1.0
compound,pid,1.0,0.0002777777777777,1.0,0.0,,0.0063962098866573,0.39610064950086,0.0002382247531345,11.25138888888889,0.31935595518273,1.0
